action/timestep,action/mean_token_entropy,action/cum_mean_token_entropy,action/max_token_entropy,action/cum_max_token_entropy,action/mean_token_prob,action/cum_mean_token_prob,action/max_token_prob,action/cum_max_token_prob,action/token_0_entropy,action/cum_token_0_entropy,action/token_0_prob,action/cum_token_0_prob,action/token_1_entropy,action/cum_token_1_entropy,action/token_1_prob,action/cum_token_1_prob,action/token_2_entropy,action/cum_token_2_entropy,action/token_2_prob,action/cum_token_2_prob,action/token_3_entropy,action/cum_token_3_entropy,action/token_3_prob,action/cum_token_3_prob,action/token_4_entropy,action/cum_token_4_entropy,action/token_4_prob,action/cum_token_4_prob,action/token_5_entropy,action/cum_token_5_entropy,action/token_5_prob,action/cum_token_5_prob,action/token_6_entropy,action/cum_token_6_entropy,action/token_6_prob,action/cum_token_6_prob,action/dx,action/dy,action/dz,action/droll,action/dpitch,action/dyaw,action/dgripper,action/dpos,action/drot,action/cum_dpos,action/cum_drot
0,0.7249738574028015,0.7249738574028015,1.666731595993042,1.666731595993042,0.8047834634780884,0.8047834634780884,0.9998317956924438,0.9998317956924438,1.666731595993042,1.666731595993042,0.5352783203125,0.5352783203125,0.8240703344345093,0.8240703344345093,0.8256579637527466,0.8256579637527466,0.733677864074707,0.733677864074707,0.725556492805481,0.725556492805481,0.7798067331314087,0.7798067331314087,0.7703454494476318,0.7703454494476318,0.5285060405731201,0.5285060405731201,0.9150936603546143,0.9150936603546143,0.540088415145874,0.540088415145874,0.8617199659347534,0.8617199659347534,0.0019359251018613577,0.0019359251018613577,0.9998317956924438,0.9998317956924438,-0.004682272146729876,-0.002042921614997577,-0.0121932065070552,0.001138307649715134,0.024674261024769578,-0.02907907666762677,0.996078431372549,0.013220116720542218,0.03815373639980203,0.013220116720542218,0.03815373639980203
1,1.010016679763794,1.7349905371665955,1.6547467708587646,3.3214783668518066,0.6518814563751221,1.4566649198532104,1.0,1.9998317956924438,0.9415860772132874,2.6083176732063293,0.7980321049690247,1.3333104252815247,1.282178521156311,2.1062488555908203,0.45392122864723206,1.2795791923999786,1.6547467708587646,2.3884246349334717,0.3998250961303711,1.125381588935852,1.5176130533218384,2.297419786453247,0.40271708369255066,1.1730625331401825,0.7286091446876526,1.2571151852607727,0.7299443483352661,1.6450380086898804,0.9453830718994141,1.485471487045288,0.7787299752235413,1.6404499411582947,2.499201059436018e-07,0.0019361750219673013,1.0,1.9998317956924438,-0.004682272146729876,0.00022339712872219974,-0.017649537305183274,0.04520130944018251,0.021994802196236188,0.030557452060428203,0.996078431372549,0.01826142781439118,0.05882760895348422,0.031481544534933396,0.09698134535328626
2,0.6159224510192871,2.3509129881858826,1.2252790927886963,4.546757459640503,0.8497029542922974,2.306367874145508,0.9998480081558228,2.9996798038482666,1.190281629562378,3.7985993027687073,0.6815985441207886,2.0149089694023132,1.2252790927886963,3.3315279483795166,0.6691381335258484,1.948717325925827,0.17689397931098938,2.565318614244461,0.9654569029808044,2.0908384919166565,0.5647878646850586,2.8622076511383057,0.8506712913513184,2.023733824491501,0.6183747053146362,1.875489890575409,0.8963797688484192,2.5414177775382996,0.5340899229049683,2.0195614099502563,0.8848277926445007,2.5252777338027954,0.0017499621026217937,0.003686137124589095,0.9998480081558228,2.9996798038482666,-0.004682272146729876,-0.002042921614997577,-0.0121932065070552,0.001138307649715134,0.024674261024769578,-0.02907907666762677,0.996078431372549,0.013220116720542218,0.03815373639980203,0.044701661255475617,0.1351350817530883
3,0.8803675770759583,3.231280565261841,2.016940116882324,6.563697576522827,0.7680755853652954,3.0744434595108032,0.9999912977218628,3.9996711015701294,2.016940116882324,5.8155394196510315,0.40449634194374084,2.419405311346054,1.5261833667755127,4.857711315155029,0.6184542775154114,2.5671716034412384,1.0867674350738525,3.6520860493183136,0.733061671257019,2.8239001631736755,1.2821757793426514,4.144383430480957,0.6549819707870483,2.678715795278549,0.1862216293811798,2.0617115199565887,0.9742712378501892,3.5156890153884888,0.06416516751050949,2.083726577460766,0.9912719130516052,3.5165496468544006,0.00011923596321139485,0.00380537308780049,0.9999912977218628,3.9996711015701294,-0.004458597905495604,0.0005471569492535924,-0.004138622947913766,-0.023128273046484286,0.008597508053569194,0.009604077101922431,0.996078431372549,0.006107919114969084,0.026477772863735906,0.0508095803704447,0.1616128546168242
4,0.6041823625564575,3.8354629278182983,1.2040550708770752,7.767752647399902,0.8142932653427124,3.8887367248535156,0.9963198900222778,4.995990991592407,0.24317555129528046,6.058714970946312,0.9573096632957458,3.3767149746418,0.6093873977661133,5.467098712921143,0.8636170029640198,3.430788606405258,1.1610264778137207,4.813112527132034,0.47258031368255615,3.2964804768562317,0.15789249539375305,4.30227592587471,0.9781493544578552,3.6568651497364044,0.818543553352356,2.8802550733089447,0.7679822444915771,4.283671259880066,1.2040550708770752,3.287781648337841,0.6640942096710205,4.180643856525421,0.03519546240568161,0.0390008354934821,0.9963198900222778,4.995990991592407,0.0009095838841269785,-0.00042412251234059256,-0.021546916446703323,0.04456271521133513,0.044770202238770054,0.0063804809544599494,0.996078431372549,0.021570276565425667,0.06348950411459485,0.07237985693587037,0.22510235873141904
5,0.5638278722763062,4.3992908000946045,1.7968480587005615,9.564600706100464,0.8194752335548401,4.708211958408356,0.9999290704727173,5.9959200620651245,1.7968480587005615,7.8555630296468735,0.43648791313171387,3.813202887773514,0.07695595175027847,5.544054664671421,0.9877930283546448,4.418581634759903,0.3665981888771057,5.17971071600914,0.9208722114562988,4.2173526883125305,0.38366734981536865,4.685943275690079,0.926692545413971,4.583557695150375,0.6742050647735596,3.5544601380825043,0.674725353717804,4.95839661359787,0.6476148962974548,3.935396544635296,0.7898261547088623,4.9704700112342834,0.0009056915296241641,0.039906527023106264,0.9999290704727173,5.9959200620651245,-0.00020878732204438963,-0.0013954019739347845,-0.003878797671812425,-0.013549359613773987,0.013956425710635989,0.014439471323116071,0.996078431372549,0.004127445964947942,0.024225302818560644,0.07650730290081832,0.24932766154997968
6,0.8588525652885437,5.258143365383148,1.8411791324615479,11.405779838562012,0.7481615543365479,5.456373512744904,0.9465813040733337,6.942501366138458,1.0809824466705322,8.936545476317406,0.7518758773803711,4.565078765153885,0.5232126712799072,6.067267335951328,0.825920045375824,5.244501680135727,0.8290814161300659,6.008792132139206,0.7578048706054688,4.975157558917999,1.8411791324615479,6.527122408151627,0.5176642537117004,5.101221948862076,0.3086581826210022,3.8631183207035065,0.9465813040733337,5.904977917671204,1.153310775756836,5.088707320392132,0.5104883313179016,5.480958342552185,0.27554309368133545,0.3154496207044417,0.9267958402633667,6.922715902328491,0.0015806066078298056,-0.00042412251234059256,-0.01089408012654852,0.008162844167036026,0.02936331397470303,-0.06776223043717594,0.996078431372549,0.011016314218369443,0.07430044485932259,0.08752361711918777,0.3236281064093023
7,0.6999989151954651,5.958142280578613,1.353333830833435,12.759113669395447,0.8138154149055481,6.270188927650452,0.9923921227455139,7.934893488883972,1.353333830833435,10.28987930715084,0.6631577014923096,5.2282364666461945,0.33889809250831604,6.406165428459644,0.9422615766525269,6.186763256788254,0.7456750273704529,6.754467159509659,0.8200880885124207,5.79524564743042,0.6946262121200562,7.221748620271683,0.8407396674156189,5.941961616277695,0.41267064213752747,4.275788962841034,0.9241543412208557,6.829132258892059,1.2921208143234253,6.380828134715557,0.5139145851135254,5.9948729276657104,0.06266725808382034,0.37811687878826206,0.9923921227455139,7.915108025074005,-0.00311655245808996,0.004432274795630346,-0.003099321843508418,-0.0078020115541478086,0.008597508053569194,0.05151082701893403,0.996078431372549,0.006242095399595798,0.0528029717837622,0.09376571251878357,0.3764310781930645
8,1.3192051649093628,7.277347445487976,2.3493378162384033,15.10845148563385,0.5437514185905457,6.813940346240997,0.994446873664856,8.929340362548828,2.3493378162384033,12.639217123389244,0.27017471194267273,5.498411178588867,0.6304463148117065,7.036611743271351,0.8093341588973999,6.996097415685654,1.4102280139923096,8.164695173501968,0.40307119488716125,6.198316842317581,1.629385232925415,8.851133853197098,0.5753818154335022,6.517343431711197,1.5313012599945068,5.807090222835541,0.3931930363178253,7.222325295209885,1.6289869546890259,8.009815089404583,0.36065787076950073,6.355530798435211,0.05475102365016937,0.43286790243843143,0.994446873664856,8.909554898738861,-0.00311655245808996,0.004432274795630346,-0.0018001954630017317,-0.010994982698384559,0.015966019832036035,-0.04358525933120769,0.996078431372549,0.005709523867453276,0.047701973384582014,0.09947523638623684,0.42413305157764647
9,0.9135445356369019,8.190891981124878,1.6468560695648193,16.75530755519867,0.6855193376541138,7.499459683895111,0.9989163875579834,9.928256750106812,0.29120221734046936,12.930419340729713,0.9555686116218567,6.453979790210724,0.4093710780143738,7.445982821285725,0.9137412309646606,7.909838646650314,1.6468560695648193,9.811551243066788,0.4236246347427368,6.621941477060318,0.8836364150047302,9.734770268201828,0.6751264333724976,7.1924698650836945,1.509920597076416,7.317010819911957,0.4810710847377777,7.703396379947662,1.6436924934387207,9.653507582843304,0.3505866825580597,6.706117480993271,0.01013278029859066,0.4430006827370221,0.9989163875579834,9.908471286296844,-0.006471666076604071,0.004432274795630346,0.005994562820038369,-0.009717794240689859,-0.01618748611036472,0.02894565398669699,0.996078431372549,0.009872299887788778,0.03455895131793242,0.10934753627402562,0.4586920028955789
