action/timestep,action/mean_token_entropy,action/cum_mean_token_entropy,action/max_token_entropy,action/cum_max_token_entropy,action/mean_token_prob,action/cum_mean_token_prob,action/max_token_prob,action/cum_max_token_prob,action/token_0_entropy,action/cum_token_0_entropy,action/token_0_prob,action/cum_token_0_prob,action/token_1_entropy,action/cum_token_1_entropy,action/token_1_prob,action/cum_token_1_prob,action/token_2_entropy,action/cum_token_2_entropy,action/token_2_prob,action/cum_token_2_prob,action/token_3_entropy,action/cum_token_3_entropy,action/token_3_prob,action/cum_token_3_prob,action/token_4_entropy,action/cum_token_4_entropy,action/token_4_prob,action/cum_token_4_prob,action/token_5_entropy,action/cum_token_5_entropy,action/token_5_prob,action/cum_token_5_prob,action/token_6_entropy,action/cum_token_6_entropy,action/token_6_prob,action/cum_token_6_prob,action/dx,action/dy,action/dz,action/droll,action/dpitch,action/dyaw,action/dgripper,action/dpos,action/drot,action/cum_dpos,action/cum_drot
0,1.3722662925720215,1.3722662925720215,2.251028060913086,2.251028060913086,0.5810537338256836,0.5810537338256836,0.9784073233604431,0.9784073233604431,2.251028060913086,2.251028060913086,0.5386060476303101,0.5386060476303101,1.75368332862854,1.75368332862854,0.5074052810668945,0.5074052810668945,1.6859885454177856,1.6859885454177856,0.3991745710372925,0.3991745710372925,1.3240582942962646,1.3240582942962646,0.4514332115650177,0.4514332115650177,2.1526153087615967,2.1526153087615967,0.28815197944641113,0.28815197944641113,0.3198891878128052,0.3198891878128052,0.9041974544525146,0.9041974544525146,0.11860038340091705,0.11860038340091705,0.9784073233604431,0.9784073233604431,-0.0008798100457472133,0.0031372355135047617,-0.020247790066196637,-0.018019519215705465,0.07759357288830414,0.012827673249384858,0.996078431372549,0.020508274304498766,0.08068466290027324,0.020508274304498766,0.08068466290027324
1,1.1564979553222656,2.528764247894287,3.311394691467285,5.562422752380371,0.6914944052696228,1.2725481390953064,0.9998082518577576,1.9782155752182007,3.311394691467285,5.562422752380371,0.2656331956386566,0.8042392432689667,0.7841745018959045,2.5378578305244446,0.8254916071891785,1.332896888256073,0.767852246761322,2.4538407921791077,0.759934663772583,1.1591092348098755,1.799587607383728,3.1236459016799927,0.3901596963405609,0.8415929079055786,0.8400769233703613,2.992692232131958,0.7510777711868286,1.0392297506332397,0.5903488397598267,0.9102380275726318,0.8483558297157288,1.7525532841682434,0.0020501732360571623,0.12065055663697422,0.9998082518577576,1.9782155752182007,-0.00043246156327866186,0.0021659560519105767,0.001837358402416979,-0.0065248230964530946,-0.002790191967697725,-0.0016785094141960888,0.996078431372549,0.0028730253255851664,0.007292179475997388,0.023381299630083934,0.08797684237627063
2,1.4270493984222412,3.9558136463165283,3.503598213195801,9.066020965576172,0.6075652837753296,1.880113422870636,0.9814344644546509,2.9596500396728516,3.503598213195801,9.066020965576172,0.15125471353530884,0.9554939568042755,1.432881236076355,3.9707390666007996,0.5692172646522522,1.9021141529083252,1.3331700563430786,3.7870108485221863,0.6176365613937378,1.7767457962036133,1.1398651599884033,4.263511061668396,0.6942856311798096,1.5358785390853882,2.3548572063446045,5.3475494384765625,0.2659853398799896,1.3052150905132294,0.09589370340108871,1.0061317309737206,0.9814344644546509,2.7339877486228943,0.12907934188842773,0.24972989852540195,0.9731427431106567,2.9513583183288574,-0.0008798100457472133,0.0031372355135047617,-0.020247790066196637,-0.018019519215705465,0.07759357288830414,0.012827673249384858,0.996078431372549,0.020508274304498766,0.08068466290027324,0.043889573934582704,0.16866150527654386
3,1.2463021278381348,5.202115774154663,3.711928129196167,12.777949094772339,0.6734709143638611,2.553584337234497,0.9993233680725098,3.9589734077453613,3.711928129196167,12.777949094772339,0.1636645495891571,1.1191585063934326,0.7513412833213806,4.72208034992218,0.822543203830719,2.724657356739044,0.8741876482963562,4.6611984968185425,0.7227512001991272,2.4994969964027405,1.484047770500183,5.747558832168579,0.5905725955963135,2.1264511346817017,1.0471898317337036,6.394739270210266,0.6419233083724976,1.947138398885727,0.8491424322128296,1.8552741631865501,0.7735180258750916,3.507505774497986,0.006277238950133324,0.2560071374755353,0.9993233680725098,3.950681686401367,-0.00043246156327866186,0.0021659560519105767,0.001837358402416979,-0.0065248230964530946,-0.002790191967697725,-0.0016785094141960888,0.996078431372549,0.0028730253255851664,0.007292179475997388,0.04676259926016787,0.17595368475254125
4,1.3481348752975464,6.5502506494522095,1.9936602115631104,14.77160930633545,0.5621501207351685,3.1157344579696655,0.9994994401931763,4.958472847938538,1.9299795627593994,14.707928657531738,0.588438868522644,1.7075973749160767,1.7591445446014404,6.481224894523621,0.3283044695854187,3.052961826324463,1.3115615844726562,5.972760081291199,0.5633549094200134,3.062851905822754,1.478150725364685,7.225709557533264,0.3584919273853302,2.484943062067032,0.9594059586524963,7.3541452288627625,0.753132164478302,2.700270563364029,1.9936602115631104,3.8489343747496605,0.3438287079334259,3.8513344824314117,0.0050418018363416195,0.2610489393118769,0.9994994401931763,4.9501811265945435,-0.00043246156327866186,-0.0013954019739347845,1.8581469707623643e-05,-0.016103736529163387,0.008597508053569194,-0.01779649015150825,0.996078431372549,0.0014609979273055155,0.02549436284053062,0.048223597187473384,0.20144804759307186
5,1.0937910079956055,7.644041657447815,2.0492773056030273,16.820886611938477,0.6714807748794556,3.787215232849121,0.9620625376701355,5.920535385608673,1.092339277267456,15.800267934799194,0.535319983959198,2.2429173588752747,1.830026626586914,8.311251521110535,0.4378569424152374,3.4908187687397003,0.9765236973762512,6.94928377866745,0.6923112869262695,3.7551631927490234,2.0492773056030273,9.274986863136292,0.4648786187171936,2.9498216807842255,0.9498616456985474,8.30400687456131,0.7380481958389282,3.438318759202957,0.1971244364976883,4.046058811247349,0.9620625376701355,4.813397020101547,0.5613837242126465,0.8224326635245234,0.8698875308036804,5.820068657398224,-0.015194961484740772,0.03098058007920481,-0.025963946140426047,0.025404888345914547,0.041420878703103306,0.02894565398669699,0.996078431372549,0.043183442379570926,0.05655924706998113,0.09140703956704431,0.258007294663053
6,0.6709285974502563,8.314970254898071,1.3678841590881348,18.18877077102661,0.8075607419013977,4.594775974750519,0.9593607187271118,6.879896104335785,1.0178356170654297,16.818103551864624,0.6752468347549438,2.9181641936302185,1.3678841590881348,9.67913568019867,0.6207061409950256,4.111524909734726,0.8699768781661987,7.819260656833649,0.7113521695137024,4.466515362262726,0.5536738038063049,9.828660666942596,0.8164799213409424,3.766301602125168,0.256905734539032,8.560912609100342,0.9593607187271118,4.397679477930069,0.28317904472351074,4.3292378559708595,0.9382348656654358,5.751631885766983,0.34704428911209106,1.1694769526366144,0.9315441250801086,6.7516127824783325,-0.001550832769450037,-0.004633000179248746,-0.0025796712913057455,0.026682076803609248,0.02936331397470303,-0.027467278593895555,0.996078431372549,0.005524896099557533,0.048255453821152344,0.09693193566660184,0.3062627484842053
7,0.8408829569816589,9.15585321187973,1.7165942192077637,19.905364990234375,0.7561600208282471,5.350935995578766,0.9831436276435852,7.86303973197937,0.8037721514701843,17.62187570333481,0.8060606122016907,3.724224805831909,1.7165942192077637,11.395729899406433,0.42149776220321655,4.5330226719379425,0.8201225996017456,8.639383256435394,0.7424416542053223,5.208957016468048,0.11967530846595764,9.948335975408554,0.9831436276435852,4.749445229768753,0.8880660533905029,9.448978662490845,0.7811259627342224,5.178805440664291,0.6880744695663452,5.017312325537205,0.8289763331413269,6.58060821890831,0.849875271320343,2.0193522239569575,0.7298738360404968,7.481486618518829,-0.00043246156327866186,0.003784755154567561,-0.025963946140426047,0.006247061480493962,0.06553600815990386,0.012827673249384858,0.996078431372549,0.026241911015905145,0.0670711811709697,0.12317384668250698,0.37333392965517503
8,0.6168184280395508,9.772671639919281,1.6655552387237549,21.57092022895813,0.7958902716636658,6.146826267242432,0.9967898726463318,8.859829604625702,0.23513898253440857,17.857014685869217,0.946966290473938,4.671191096305847,0.7664451003074646,12.162174999713898,0.5833498239517212,5.116372495889664,0.030931418761610985,8.670314675197005,0.9959593415260315,6.20491635799408,0.49847835302352905,10.446814328432083,0.8957337141036987,5.645178943872452,1.0968055725097656,10.54578423500061,0.5983710885047913,5.777176529169083,0.024374457076191902,5.041686782613397,0.9967898726463318,7.577398091554642,1.6655552387237549,3.6849074626807123,0.5540619492530823,8.035548567771912,-0.00020878732204438963,-0.00010036269180919988,-0.0075163515372311425,0.008801438395883376,0.022664666903369532,0.0015450867332663376,0.996078431372549,0.007519920561215432,0.02436267096790785,0.13069376724372242,0.3976966006230829
9,0.6502140760421753,10.422885715961456,1.5152151584625244,23.086135387420654,0.7930532693862915,6.939879536628723,0.9861984252929688,9.84602802991867,0.34863829612731934,18.205652981996536,0.9363895058631897,5.607580602169037,0.07978066056966782,12.241955660283566,0.9861984252929688,6.1025709211826324,1.5152151584625244,10.18552983365953,0.5636102557182312,6.768526613712311,0.23151226341724396,10.678326591849327,0.943466067314148,6.5886450111866,0.9938401579856873,11.539624392986298,0.7138607501983643,6.491037279367447,0.7207821011543274,5.762468883767724,0.558574378490448,8.13597247004509,0.6617298722267151,4.346637334907427,0.849273145198822,8.884821712970734,-0.00020878732204438963,0.00022339712872219974,-0.007776176813332477,0.001138307649715134,0.032042772803236405,0.0015450867332663376,0.996078431372549,0.007782186341586625,0.032100191996910894,0.13847595358530904,0.42979679261999376
