action/timestep,action/mean_token_entropy,action/cum_mean_token_entropy,action/max_token_entropy,action/cum_max_token_entropy,action/mean_token_prob,action/cum_mean_token_prob,action/max_token_prob,action/cum_max_token_prob,action/token_0_entropy,action/cum_token_0_entropy,action/token_0_prob,action/cum_token_0_prob,action/token_1_entropy,action/cum_token_1_entropy,action/token_1_prob,action/cum_token_1_prob,action/token_2_entropy,action/cum_token_2_entropy,action/token_2_prob,action/cum_token_2_prob,action/token_3_entropy,action/cum_token_3_entropy,action/token_3_prob,action/cum_token_3_prob,action/token_4_entropy,action/cum_token_4_entropy,action/token_4_prob,action/cum_token_4_prob,action/token_5_entropy,action/cum_token_5_entropy,action/token_5_prob,action/cum_token_5_prob,action/token_6_entropy,action/cum_token_6_entropy,action/token_6_prob,action/cum_token_6_prob,action/dx,action/dy,action/dz,action/droll,action/dpitch,action/dyaw,action/dgripper,action/dpos,action/drot,action/cum_dpos,action/cum_drot
0,1.055220127105713,1.055220127105713,3.026850461959839,3.026850461959839,0.719948410987854,0.719948410987854,0.9997853636741638,0.9997853636741638,3.026850461959839,3.026850461959839,0.35100364685058594,0.35100364685058594,2.019420623779297,2.019420623779297,0.4084250330924988,0.4084250330924988,0.16338258981704712,0.16338258981704712,0.964695930480957,0.964695930480957,1.157077670097351,1.157077670097351,0.532468318939209,0.532468318939209,0.528440535068512,0.528440535068512,0.8757364749908447,0.8757364749908447,0.4891567826271057,0.4891567826271057,0.9075234532356262,0.9075234532356262,0.0022118648048490286,0.0022118648048490286,0.9997853636741638,0.9997853636741638,-0.00043246156327866186,0.0015184364108477844,0.001837358402416979,-0.0065248230964530946,-0.002790191967697725,-0.0016785094141960888,0.996078431372549,0.002422510688610888,0.007292179475997388,0.002422510688610888,0.007292179475997388
1,1.5014517307281494,2.5566718578338623,3.4344167709350586,6.4612672328948975,0.5324714779853821,1.252419888973236,0.9995908141136169,1.9993761777877808,3.4344167709350586,6.4612672328948975,0.14357076585292816,0.4945744127035141,1.0234428644180298,3.0428634881973267,0.5507561564445496,0.9591811895370483,2.0081639289855957,2.171546518802643,0.5061253905296326,1.4708213210105896,1.2869597673416138,2.444037437438965,0.41694048047065735,0.9494087994098663,0.865020751953125,1.393461287021637,0.7836734056472778,1.6594098806381226,1.8880411386489868,2.3771979212760925,0.32664331793785095,1.2341667711734772,0.004116544965654612,0.00632840977050364,0.9995908141136169,1.9993761777877808,-0.00311655245808996,-0.007546838564031308,1.8581469707623643e-05,-0.0486720422003784,0.01060710217496924,-0.011349297856583396,0.996078431372549,0.008165048487706193,0.0510909470487982,0.01058755917631708,0.05838312652479559
2,1.1608688831329346,3.717540740966797,2.36643385887146,8.827701091766357,0.6293485760688782,1.8817684650421143,0.9979274272918701,2.997303605079651,2.36643385887146,8.827701091766357,0.466211199760437,0.9607856124639511,2.1446409225463867,5.187504410743713,0.26940295100212097,1.2285841405391693,1.5253838300704956,3.6969303488731384,0.36758413910865784,1.8384054601192474,1.393830418586731,3.837867856025696,0.4253556430339813,1.3747644424438477,0.1528184711933136,1.5462797582149506,0.9785899519920349,2.6379998326301575,0.5237951278686523,2.900993049144745,0.9003687500953674,2.1345355212688446,0.019178468734025955,0.025506878504529595,0.9979274272918701,2.997303605079651,-0.00043246156327866186,0.003784755154567561,0.001837358402416979,-0.0071634173253004585,-0.0014504625534310367,0.01927486554430974,0.996078431372549,0.004229335702290777,0.0206140445120927,0.014816894878607857,0.07899717103688829
3,1.2315171957015991,4.949057936668396,2.7921812534332275,11.619882345199585,0.645271897315979,2.5270403623580933,0.9994736313819885,3.9967772364616394,2.7921812534332275,11.619882345199585,0.3202151358127594,1.2810007482767105,1.1390389204025269,6.32654333114624,0.5508825182914734,1.7794666588306427,1.4797176122665405,5.176647961139679,0.6554340124130249,2.4938394725322723,1.2833726406097412,5.121240496635437,0.5357767939567566,1.9105412364006042,0.2710239887237549,1.8173037469387054,0.9503169059753418,3.5883167386054993,1.6499993801116943,4.550992429256439,0.5048036575317383,2.639339178800583,0.005286145955324173,0.03079302445985377,0.9994736313819885,3.9967772364616394,-0.00311655245808996,-0.007546838564031308,1.8581469707623643e-05,-0.0486720422003784,0.01060710217496924,-0.011349297856583396,0.996078431372549,0.008165048487706193,0.0510909470487982,0.02298194336631405,0.1300881180856865
4,0.9864497780799866,5.935507714748383,2.123128652572632,13.743010997772217,0.7164279818534851,3.2434683442115784,0.9981389045715332,4.994916141033173,2.123128652572632,13.743010997772217,0.47294187545776367,1.7539426237344742,1.7882637977600098,8.11480712890625,0.4801124930381775,2.25957915186882,1.151671051979065,6.328319013118744,0.5567660927772522,3.0506055653095245,1.2437539100646973,6.364994406700134,0.6167197227478027,2.527260959148407,0.17651721835136414,1.9938209652900696,0.9725741744041443,4.5608909130096436,0.40438616275787354,4.955378592014313,0.917742133140564,3.557081311941147,0.017427420243620872,0.04822044470347464,0.9981389045715332,4.994916141033173,-0.00043246156327866186,0.003784755154567561,0.001837358402416979,-0.0071634173253004585,-0.0014504625534310367,0.01927486554430974,0.996078431372549,0.004229335702290777,0.0206140445120927,0.027211279068604828,0.1507021625977792
5,1.3994572162628174,7.3349649310112,2.2142722606658936,15.95728325843811,0.5686976909637451,3.8121660351753235,0.9836002588272095,5.978516399860382,1.7537226676940918,15.496733665466309,0.6536444425582886,2.4075870662927628,2.144986391067505,10.259793519973755,0.380496621131897,2.640075773000717,1.658229112625122,7.986548125743866,0.35994330048561096,3.4105488657951355,2.2142722606658936,8.579266667366028,0.26833203434944153,2.7955929934978485,0.09843386709690094,2.0922548323869705,0.9836002588272095,5.544491171836853,1.8164483308792114,6.771826922893524,0.3532891571521759,3.9103704690933228,0.11010731011629105,0.1583277548197657,0.9815779328346252,5.976494073867798,-0.00043246156327866186,0.003784755154567561,-0.0028394965674070835,-0.004609040409911044,0.0018988609822357116,0.014439471323116071,0.996078431372549,0.004751224614776253,0.015275708121757941,0.031962503683381084,0.16597787071953712
6,0.9177103042602539,8.252675235271454,1.473433017730713,17.430716276168823,0.729425311088562,4.5415913462638855,0.9989810585975647,6.977497458457947,1.338767170906067,16.835500836372375,0.7789179682731628,3.1865050345659256,1.3506273031234741,11.610420823097229,0.5845060348510742,3.2245818078517914,1.473433017730713,9.459981143474579,0.461327463388443,3.8718763291835785,1.376003623008728,9.955270290374756,0.44147631525993347,3.237069308757782,0.28668805956840515,2.3789428919553757,0.9534133076667786,6.497904479503632,0.5879461765289307,7.359773099422455,0.8873550891876221,4.797725558280945,0.010506222024559975,0.16883397684432566,0.9989810585975647,6.9754751324653625,-0.00043246156327866186,0.003784755154567561,0.001837358402416979,-0.0071634173253004585,-0.0014504625534310367,0.01927486554430974,0.996078431372549,0.004229335702290777,0.0206140445120927,0.03619183938567186,0.18659191523162982
7,1.2313151359558105,9.483990371227264,2.1428589820861816,19.573575258255005,0.5899609327316284,5.131552278995514,0.9998239874839783,7.977321445941925,2.1428589820861816,18.978359818458557,0.5765498876571655,3.763054922223091,1.9700326919555664,13.580453515052795,0.33778825402259827,3.5623700618743896,1.485715627670288,10.945696771144867,0.3535766005516052,4.225452929735184,1.680041790008545,11.6353120803833,0.27469080686569214,3.511760115623474,0.28677621483802795,2.6657191067934036,0.9220957159996033,7.420000195503235,1.0517051219940186,8.411478221416473,0.6652013659477234,5.462926924228668,0.002074608113616705,0.17090858495794237,0.9998239874839783,7.975299119949341,-0.00043246156327866186,0.003784755154567561,0.001837358402416979,-0.0033318519522163442,-0.00011073313916434846,0.009604077101922431,0.996078431372549,0.004229335702290777,0.010166208547893744,0.040421175087962634,0.19675812377952356
8,1.1960581541061401,10.680048525333405,2.765789270401001,22.339364528656006,0.6041744351387024,5.735726714134216,0.9989824891090393,8.976303935050964,2.765789270401001,21.744149088859558,0.38854745030403137,4.1516023725271225,1.6711505651474,15.251604080200195,0.416518896818161,3.9788889586925507,0.21796037256717682,11.163657143712044,0.9495240449905396,5.174976974725723,0.8102229833602905,12.445535063743591,0.5796234607696533,4.091383576393127,1.5735867023468018,4.239305809140205,0.5190973281860352,7.93909752368927,1.3229258060455322,9.734404027462006,0.3769272565841675,5.839854180812836,0.010771026834845543,0.1816796117927879,0.9989824891090393,8.97428160905838,-0.00311655245808996,-0.004956759999780139,0.0005382320219102961,0.004969873022799262,-0.002120327260564381,0.003156884806997551,0.996078431372549,0.005879801240591099,0.006257902782825273,0.04630097632855373,0.20301602656234885
9,1.5949879884719849,12.27503651380539,3.291858196258545,25.63122272491455,0.5385640859603882,6.2742908000946045,0.9691969752311707,9.945500910282135,3.291858196258545,25.036007285118103,0.20995821058750153,4.361560583114624,1.707367181777954,16.95897126197815,0.5581859946250916,4.537074953317642,1.5166118144989014,12.680268958210945,0.42179253697395325,5.5967695116996765,1.460084319114685,13.905619382858276,0.5727037191390991,4.664087295532227,1.2050812244415283,5.444387033581734,0.5084351897239685,8.447532713413239,1.73141610622406,11.465820133686066,0.5296757221221924,6.369529902935028,0.2524957060813904,0.4341753178741783,0.9691969752311707,9.94347858428955,-0.01362924179610085,0.016735147975823386,-0.00985477902214317,0.034983801778624854,0.07759357288830414,0.07085240390370864,0.996078431372549,0.023726316176021955,0.1107460702661406,0.07002729250457569,0.31376209682848943
10,0.8353645205497742,13.110401034355164,3.035109043121338,28.66633176803589,0.7040755748748779,6.978366374969482,0.999826967716217,10.945327877998352,3.035109043121338,28.07111632823944,0.17649103701114655,4.538051620125771,1.5427422523498535,18.501713514328003,0.3792562484741211,4.916331201791763,0.017988476902246475,12.698257435113192,0.997952938079834,6.5947224497795105,1.1849453449249268,15.090564727783203,0.3833465278148651,5.047433823347092,0.0077019352465868,5.4520889688283205,0.9991940855979919,9.44672679901123,0.05685681477189064,11.522676948457956,0.9924611449241638,7.361991047859192,0.0022071772255003452,0.43638249509967864,0.999826967716217,10.943305552005768,-0.00043246156327866186,0.0015184364108477844,0.001837358402416979,-0.0033318519522163442,-0.00011073313916434846,0.007992279028191218,0.996078431372549,0.002422510688610888,0.008659678015033943,0.07244980319318658,0.32242177484352336
11,1.7507699728012085,14.861171007156372,3.0137932300567627,31.68012499809265,0.4840543866157532,7.462420761585236,0.9347547888755798,11.880082666873932,3.0137932300567627,31.084909558296204,0.3134732246398926,4.851524844765663,2.1047496795654297,20.606463193893433,0.25824281573295593,5.174574017524719,1.1366984844207764,13.834955919533968,0.5367041230201721,7.131426572799683,2.6343235969543457,17.72488832473755,0.17394183576107025,5.221375659108162,2.536149740219116,7.988238709047437,0.23791328072547913,9.68464007973671,0.35211074352264404,11.8747876919806,0.9347547888755798,8.296745836734772,0.4775635004043579,0.9139459955040365,0.9333503842353821,11.87665593624115,-0.01362924179610085,0.016735147975823386,-0.00985477902214317,0.0816011804844816,0.07759357288830414,0.07085240390370864,0.996078431372549,0.023726316176021955,0.13303976228544523,0.09617611936920854,0.4554615371289686
