action/timestep,action/mean_token_entropy,action/cum_mean_token_entropy,action/max_token_entropy,action/cum_max_token_entropy,action/mean_token_prob,action/cum_mean_token_prob,action/max_token_prob,action/cum_max_token_prob,action/token_0_entropy,action/cum_token_0_entropy,action/token_0_prob,action/cum_token_0_prob,action/token_1_entropy,action/cum_token_1_entropy,action/token_1_prob,action/cum_token_1_prob,action/token_2_entropy,action/cum_token_2_entropy,action/token_2_prob,action/cum_token_2_prob,action/token_3_entropy,action/cum_token_3_entropy,action/token_3_prob,action/cum_token_3_prob,action/token_4_entropy,action/cum_token_4_entropy,action/token_4_prob,action/cum_token_4_prob,action/token_5_entropy,action/cum_token_5_entropy,action/token_5_prob,action/cum_token_5_prob,action/token_6_entropy,action/cum_token_6_entropy,action/token_6_prob,action/cum_token_6_prob,action/dx,action/dy,action/dz,action/droll,action/dpitch,action/dyaw,action/dgripper,action/dpos,action/drot,action/cum_dpos,action/cum_drot
0,1.3391461372375488,1.3391461372375488,2.6334457397460938,2.6334457397460938,0.6162123680114746,0.6162123680114746,0.9995668530464172,0.9995668530464172,1.7806169986724854,1.7806169986724854,0.6588505506515503,0.6588505506515503,2.2945194244384766,2.2945194244384766,0.41503414511680603,0.41503414511680603,0.6584170460700989,0.6584170460700989,0.8531245589256287,0.8531245589256287,1.085170865058899,1.085170865058899,0.7654046416282654,0.7654046416282654,0.9170672297477722,0.9170672297477722,0.4681167006492615,0.4681167006492615,2.6334457397460938,2.6334457397460938,0.15338921546936035,0.15338921546936035,0.0047851563431322575,0.0047851563431322575,0.9995668530464172,0.9995668530464172,-0.00020878732204438963,-0.030210026001229018,-0.015051284544169907,0.01327159799781484,0.05280857872437024,-0.04036166318374529,0.996078431372549,0.033752487753798945,0.06777864822539405,0.033752487753798945,0.06777864822539405
1,1.443118691444397,2.782264828681946,2.4858663082122803,5.119312047958374,0.6082407236099243,1.224453091621399,0.9998743534088135,1.9994412064552307,2.320873498916626,4.101490497589111,0.5150392651557922,1.1738898158073425,2.4858663082122803,4.780385732650757,0.2664499282836914,0.6814840734004974,0.5987167954444885,1.2571338415145874,0.8557924628257751,1.7089170217514038,1.7070103883743286,2.7921812534332275,0.5396354794502258,1.3050401210784912,1.8227694034576416,2.739836633205414,0.43755707144737244,0.9056737720966339,1.1649072170257568,3.7983529567718506,0.6433358788490295,0.7967250943183899,0.00168673659209162,0.006471892935223877,0.9998743534088135,1.9994412064552307,-0.00020878732204438963,-0.004633000179248746,-0.01089408012654852,-0.0595281440907834,0.043430472824503366,-0.016184692077777035,0.996078431372549,0.011840154754496447,0.07544368871088857,0.045592642508295395,0.1432223369362826
2,1.3935977220535278,4.175862550735474,2.334557056427002,7.453869104385376,0.5940555930137634,1.8185086846351624,0.9999834299087524,2.999424636363983,2.092531204223633,6.194021701812744,0.4820689857006073,1.6559588015079498,2.334557056427002,7.114942789077759,0.31615641713142395,0.9976404905319214,0.8678079843521118,2.124941825866699,0.7854315638542175,2.4943485856056213,1.3292335271835327,4.12141478061676,0.7035401463508606,2.008580267429352,1.0625437498092651,3.802380383014679,0.540817141532898,1.4464909136295319,2.0682568550109863,5.866609811782837,0.33039140701293945,1.1271165013313293,0.00025292576174251735,0.006724818696966395,0.9999834299087524,2.999424636363983,-0.00020878732204438963,-0.030210026001229018,-0.015051284544169907,0.01327159799781484,0.05280857872437024,-0.016184692077777035,0.996078431372549,0.033752487753798945,0.056805154325607385,0.07934513026209433,0.20002749126189
3,1.0786818265914917,5.254544377326965,2.0399105548858643,9.49377965927124,0.6623662710189819,2.4808749556541443,0.9852853417396545,3.9847099781036377,1.7130132913589478,7.907034993171692,0.33954018354415894,1.9954989850521088,0.13592050969600677,7.250863298773766,0.9783179759979248,1.9759584665298462,0.44901585578918457,2.573957681655884,0.909259557723999,3.4036081433296204,1.7328683137893677,5.854283094406128,0.5600035786628723,2.568583846092224,2.0399105548858643,5.842290937900543,0.2760823369026184,1.7225732505321503,1.35983407497406,7.226443886756897,0.588074803352356,1.7151913046836853,0.12020960450172424,0.12693442319869064,0.9852853417396545,3.9847099781036377,1.4886919189882608e-05,0.00022339712872219974,-0.01557093509637258,0.05988897670367162,-0.002790191967697725,0.18690186521235616,0.996078431372549,0.015572544675579893,0.19628240349477913,0.09491767493767422,0.3963098947566691
4,1.5211318731307983,6.775676250457764,2.490603446960449,11.98438310623169,0.5684254169464111,3.0493003726005554,0.9080458283424377,4.892755806446075,1.5081324577331543,9.415167450904846,0.6159682273864746,2.6114672124385834,0.6413713693618774,7.892234668135643,0.8705570697784424,2.8465155363082886,1.9022321701049805,4.476189851760864,0.3497123718261719,3.7533205151557922,2.2935032844543457,8.147786378860474,0.265596479177475,2.834180325269699,1.3883299827575684,7.230620920658112,0.677249550819397,2.3998228013515472,2.490603446960449,9.717047333717346,0.2918483316898346,2.00703963637352,0.4237491488456726,0.5506835720443632,0.9080458283424377,4.892755806446075,-0.007590037282775443,0.007346113180412908,-0.023885343931615354,0.06499773053445042,0.07759357288830414,-0.0016785094141960888,0.996078431372549,0.026116732175846806,0.10123381313600284,0.12103440711352104,0.49754370789267194
5,1.2579243183135986,8.033600568771362,2.108186960220337,14.092570066452026,0.6072726249694824,3.656572997570038,0.9724366664886475,5.865192472934723,1.5140513181686401,10.929218769073486,0.5702406764030457,3.181707888841629,0.16323727369308472,8.055471941828728,0.9724366664886475,3.818952202796936,1.1931865215301514,5.669376373291016,0.5221458077430725,4.275466322898865,1.5513509511947632,9.699137330055237,0.46691614389419556,3.3010964691638947,1.399692416191101,8.630313336849213,0.6591431498527527,3.0589659512043,2.108186960220337,11.825234293937683,0.3402186930179596,2.3472583293914795,0.8757641911506653,1.4264477631950285,0.7198072671890259,5.612563073635101,-0.006919014559072623,0.011878750667852454,-0.025963946140426047,0.006885655709341312,0.03472223163176981,0.18367826906489373,0.996078431372549,0.029378631334366287,0.18705815178899143,0.15041303844788734,0.6846018596816634
6,0.9434049129486084,8.97700548171997,2.2284436225891113,16.321013689041138,0.7386243939399719,4.39519739151001,0.9755771160125732,6.840769588947296,0.3968202769756317,11.326039046049118,0.9345924854278564,4.1163003742694855,1.1239385604858398,9.179410502314568,0.6369588375091553,4.455911040306091,0.1544986069202423,5.823874980211258,0.9755771160125732,5.251043438911438,1.398356318473816,11.097493648529053,0.6733802556991577,3.9744767248630524,2.2284436225891113,10.858756959438324,0.22760143876075745,3.2865673899650574,0.835390567779541,12.660624861717224,0.8247320055961609,3.1719903349876404,0.46638643741607666,1.8928342006111052,0.8975286483764648,6.510091722011566,-0.022128862963003273,0.01900146671954317,-0.011153905402649857,0.0681907016786872,0.07759357288830414,-0.01940828822523946,0.996078431372549,0.031227422552310435,0.10510668865889672,0.18164046100019776,0.7897085483405601
7,1.5148721933364868,10.491877675056458,2.626429557800293,18.94744324684143,0.516974687576294,4.912172079086304,0.9992725253105164,7.8400421142578125,1.9474623203277588,13.273501366376877,0.30949872732162476,4.42579910159111,0.5863983631134033,9.76580886542797,0.7522236704826355,5.208134710788727,2.0797200202941895,7.903595000505447,0.2287091463804245,5.4797525852918625,0.007422956638038158,11.104916605167091,0.9992725253105164,4.973749250173569,0.9364520907402039,11.795209050178528,0.7519658803939819,4.038533270359039,2.626429557800293,15.287054419517517,0.24792377650737762,3.419914111495018,2.420219898223877,4.313054098834982,0.32922863960266113,6.839320361614227,-0.02704969627015731,0.014792589052635016,-0.015051284544169907,-0.004609040409911044,0.05347844343150358,-0.06453863428971351,0.996078431372549,0.034308132062493106,0.08394297160178514,0.21594859306269087,0.8736515199423452
8,1.1366389989852905,11.628516674041748,2.3489904403686523,21.296433687210083,0.6532512903213501,5.565423369407654,0.9944044351577759,8.834446549415588,1.319840431213379,14.593341797590256,0.7029311060905457,5.128730207681656,1.3668816089630127,11.132690474390984,0.42471015453338623,5.632844865322113,1.383607029914856,9.287202030420303,0.44477710127830505,5.9245296865701675,0.1304759681224823,11.235392573289573,0.9811272025108337,5.9548764526844025,0.045002616941928864,11.840211667120457,0.9944044351577759,5.032937705516815,1.3616745471954346,16.64872896671295,0.6941653490066528,4.114079460501671,2.3489904403686523,6.6620445392036345,0.3306432366371155,7.169963598251343,-0.022128862963003273,0.022562824745388517,-0.0012805449107990592,0.028597859490151326,-0.03561356261723183,-0.027467278593895555,0.996078431372549,0.031629218007960105,0.053297418352717646,0.24757781107065097,0.9269489382950629
9,1.7256947755813599,13.354211449623108,2.5059289932250977,23.80236268043518,0.4607260227203369,6.026149392127991,0.9441658854484558,9.778612434864044,2.2897024154663086,16.883044213056564,0.32487723231315613,5.453607439994812,1.8524048328399658,12.98509530723095,0.2740333378314972,5.90687820315361,1.5822937488555908,10.869495779275894,0.42805397510528564,6.352583661675453,2.5059289932250977,13.74132156651467,0.19656144082546234,6.151437893509865,1.4723048210144043,13.312516488134861,0.6740504503250122,5.706988155841827,1.939573049545288,18.58830201625824,0.3833397328853607,4.4974191933870316,0.4376542270183563,7.099698766221991,0.9441658854484558,8.114129483699799,-0.0035639009405585044,0.019972746181137355,-0.008036002089433811,-0.0071634173253004585,-0.007479244917631175,0.016051269396847284,0.996078431372549,0.02182176229161236,0.019102274774604536,0.26939957336226333,0.9460512130696674
